statename,Year,CitizenIdeology,GovernmentIdeology,govstaff,govsalary,legcomp,legsession,pop,lnGDP
Alabama,2005,38.494549,42.625,43,96361,9990,105,4548.3271,11.927298
Alaska,2005,28.240259,13.16667,70,85766,48492,120,663.25299,10.581368
Arizona,2005,46.367599,52.875,39,95000,29820,97,5953.0068,12.265812
Arkansas,2005,49.178791,43.75,55,75296,18745,45,2775.708,11.37371
California,2005,57.052601,49.592861,86,175000,118600,140,36154.148,14.295682
Colorado,2005,50.125011,37.31163,39,90000,41880,120,4663.2949,12.275305
Connecticut,2005,75.056953,69.583344,30,150000,28000,120,3500.7009,12.173012
Delaware,2005,59.897369,72.5625,32,132500,43000,25,841.74103,10.946076
Florida,2005,46.907001,10.3421,310,120171,36096,60,17768.191,13.410004
Georgia,2005,43.187141,14.18442,87,127303,24320,40,9132.5527,12.789308
Hawaii,2005,77.572937,68.843933,67,94780,36800,60,1273.278,10.910953
Idaho,2005,33.84053,20,24,98500,23071,75,1429.3669,10.734024
Illinois,2005,61.589779,85.066132,130,150691,60633,57,12765.427,13.227802
Indiana,2005,49.419281,18.334999,34,95000,17540,45,6266.019,12.373098
Iowa,2005,49.791611,68.91275,19,107482,30841,110,2965.5239,11.675342
Kansas,2005,33.46764,45,24,98331,14760,90,2748.1721,11.563885
Kentucky,2005,41.17487,27.020149,80,127146,7830,30,4172.6079,11.839463
Louisiana,2005,44.253769,88.666656,117,94532,28789,53,4507.3311,12.102577
Maine,2005,77.96907,88.595108,19,70000,15234,55,1318.22,10.712327
Maryland,2005,64.945618,55.53125,84,135000,40149,90,5589.5991,12.406754
Massachusetts,2005,79.605988,68.400192,78,135000,61380,100,6433.3672,12.676232
Michigan,2005,56.170799,62.274712,56,177000,91650,352,10100.833,12.827047
Minnesota,2005,58.04649,38.77166,45,120311,34140,50,5126.7388,12.352063
Mississippi,2005,37.79715,40.37788,29,122160,19350,110,2908.4961,11.287104
Missouri,2005,47.60067,11.31175,38,120087,41155,129,5797.7031,12.278733
Montana,2005,54.470982,73.145378,18,93089,7181,43,934.737,10.306115
Nebraska,2005,30.50703,16.875,9,85000,15825,45,1758.163,11.187777
Nevada,2005,55.174591,37.12738,16,117000,18105,85,2412.301,11.609671
New Hampshire,2005,40.7178,46.259499,23,96060,200,25,1306.819,10.898941
New Jersey,2005,62.89489,88.515633,156,157000,49000,75,8703.1504,12.96607
New Mexico,2005,60.28521,91.990479,27,110000,6570,45,1925.985,11.151841
New York,2005,67.497612,41.109451,180,179000,99000,150,19315.721,13.776131
North Carolina,2005,52.53915,84.375832,76,121391,21231,70,8672.459,12.767687
North Dakota,2005,66.021294,20.145651,17,85506,5275,35,634.60498,10.124027
Ohio,2005,54.7057,16.571211,60,126485,54942,120,11470.685,12.999615
Oklahoma,2005,29.00663,44.36544,34,110298,45550,65,3543.4419,11.708147
Oregon,2005,62.08947,79.349998,29,93600,22196,80,3638.8711,11.862391
Pennsylvania,2005,56.986141,60.111309,68,155753,74264,65,12405.348,13.09425
Rhode Island,2005,83.537079,77.833328,49,105194,12286,80,1073.579,10.68334
South Carolina,2005,46.479851,14.15885,22,106078,16575,65,4246.9331,11.850026
South Dakota,2005,53.870049,15.5,22.5,103222,16180,38,774.883,10.326825
Tennessee,2005,43.074131,60.563129,36,85000,22305,45,5955.7451,12.323833
Texas,2005,45.99049,10.8615,266,115345,15880,70,22928.508,13.804787
Utah,2005,31.49507,10.125,16.5,101600,9000,45,2490.334,11.38922
Vermont,2005,91.235786,89.424301,14,133162,15875,80,622.38702,10.045681
Virginia,2005,49.30711,53.008339,43,124855,24325,55,7564.3271,12.767664
Washington,2005,59.62973,82.482857,36,139087,41197,85,6291.8989,12.511279
West Virginia,2005,67.277634,89.75,56,90000,20100,60,1814.083,10.879763
Wisconsin,2005,53.738941,54.110481,39.75,131768,56129,120,5527.644,12.287583
Wyoming,2005,35.707569,45.92506,8,130000,5125,25,501.48999,10.212662
